candidate,method,delta,threshold,honest_n,flagged,observed_fpr,cp_upper,certified,matched_caught,matched_total,matched_detection,all_caught,all_total,all_detection
multi_baseline,empirical,0.1,4.5,1989,15,0.007541478129713424,0.010688120176176933,False,27,49,0.5510204081632653,42,76,0.5526315789473685
multi_baseline,certified,0.1,5.0,1989,8,0.004022121669180492,0.006525085480358961,True,21,49,0.42857142857142855,33,76,0.4342105263157895
multi_baseline,empirical,0.05,4.5,1989,15,0.007541478129713424,0.011588787514189744,False,27,49,0.5510204081632653,42,76,0.5526315789473685
multi_baseline,certified,0.05,5.0,1989,8,0.004022121669180492,0.007245502730454168,True,21,49,0.42857142857142855,33,76,0.4342105263157895
multi_baseline,empirical,0.01,4.5,1989,15,0.007541478129713424,0.013405709808662094,False,27,49,0.5510204081632653,42,76,0.5526315789473685
multi_baseline,certified,0.01,5.0,1989,8,0.004022121669180492,0.008728780897921637,True,21,49,0.42857142857142855,33,76,0.4342105263157895
mean3,empirical,0.1,3.6666666666666665,1989,19,0.009552538964303671,0.013000270435428254,False,33,49,0.673469387755102,48,76,0.631578947368421
mean3,certified,0.1,4.0,1989,13,0.006535947712418301,0.009517121404853864,True,26,49,0.5306122448979592,39,76,0.5131578947368421
mean3,empirical,0.05,3.6666666666666665,1989,19,0.009552538964303671,0.013985402486558643,False,33,49,0.673469387755102,48,76,0.631578947368421
mean3,certified,0.05,4.666666666666667,1989,9,0.004524886877828055,0.007882728434100499,True,18,49,0.3673469387755102,27,76,0.35526315789473684
mean3,empirical,0.01,3.6666666666666665,1989,19,0.009552538964303671,0.01595903768360885,False,33,49,0.673469387755102,48,76,0.631578947368421
mean3,certified,0.01,4.666666666666667,1989,9,0.004524886877828055,0.009420287059353941,True,18,49,0.3673469387755102,27,76,0.35526315789473684
max3,empirical,0.1,8.0,1989,13,0.006535947712418301,0.009517121404853864,True,15,49,0.30612244897959184,21,76,0.27631578947368424
max3,certified,0.1,8.0,1989,13,0.006535947712418301,0.009517121404853864,True,15,49,0.30612244897959184,21,76,0.27631578947368424
max3,empirical,0.05,8.0,1989,13,0.006535947712418301,0.010371401212014136,False,15,49,0.30612244897959184,21,76,0.27631578947368424
max3,certified,0.05,9.0,1989,5,0.002513826043237808,0.005278265710988479,True,4,49,0.08163265306122448,8,76,0.10526315789473684
max3,empirical,0.01,8.0,1989,13,0.006535947712418301,0.012102335949618147,False,15,49,0.30612244897959184,21,76,0.27631578947368424
max3,certified,0.01,9.0,1989,5,0.002513826043237808,0.006577066413005683,True,4,49,0.08163265306122448,8,76,0.10526315789473684
zmean3,empirical,0.1,2.3692552307940633,1989,19,0.009552538964303671,0.013000270435428254,False,33,49,0.673469387755102,49,76,0.6447368421052632
zmean3,certified,0.1,2.636413679185227,1989,13,0.006535947712418301,0.009517121404853864,True,29,49,0.5918367346938775,44,76,0.5789473684210527
zmean3,empirical,0.05,2.3692552307940633,1989,19,0.009552538964303671,0.013985402486558643,False,33,49,0.673469387755102,49,76,0.6447368421052632
zmean3,certified,0.05,2.801702750448071,1989,11,0.005530417295123178,0.009137518089677282,True,28,49,0.5714285714285714,40,76,0.5263157894736842
zmean3,empirical,0.01,2.3692552307940633,1989,19,0.009552538964303671,0.01595903768360885,False,33,49,0.673469387755102,49,76,0.6447368421052632
zmean3,certified,0.01,3.4461076979783205,1989,9,0.004524886877828055,0.009420287059353941,True,18,49,0.3673469387755102,28,76,0.3684210526315789
